,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
2832,GCA_000558685.1,Staphylococcus aureus FVRH6022,homo sapiens,blood,,,,2791,,allpaths v. R48275,SAMN02381662,FVRH6022,,,Scaffold,5,246230,,33.0,122.0,41,40,98.8,0.58,v1.2.3,PRJNA223921,,homo sapiens | blood,human,blood,GCA_000558685.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2833,GCA_000558665.1,Staphylococcus aureus FVRH6026,homo sapiens,blood,,,,2768,,allpaths v. R48275,SAMN02381661,FVRH6026,,,Scaffold,3,396865,,33.0,123.0,19,18,98.55,0.58,v1.2.3,PRJNA223920,,homo sapiens | blood,human,blood,GCA_000558665.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2834,GCA_000541635.1,Staphylococcus aureus FVRH6035,homo sapiens,wound,,,,2750,,allpaths v. R48275,SAMN02381693,FVRH6035,,,Scaffold,4,286242,,33.0,120.0,21,20,98.75,0.39,v1.2.3,PRJNA223954,,homo sapiens | wound,human,wound,GCA_000541635.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2835,GCA_000572565.1,Staphylococcus aureus FVRH6040,homo sapiens,wound,,,,2778,,allpaths v. R48476,SAMN02381695,FVRH6040,,,Scaffold,1,2027341,,32.5,156.0,9,6,97.99,0.39,v1.2.3,PRJNA223956,,homo sapiens | wound,human,wound,GCA_000572565.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2836,GCA_000541775.1,Staphylococcus aureus FVRH6052,homo sapiens,wound,,,,2762,,allpaths v. R48275,SAMN02381702,FVRH6052,,,Scaffold,1,1666667,,32.5,117.0,9,8,97.99,0.39,v1.2.4,PRJNA223963,,homo sapiens | wound,human,wound,GCA_000541775.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2837,GCA_000542255.1,Staphylococcus aureus FVRH6065,homo sapiens,blood,,,,2777,,allpaths v. R48275,SAMN02381729,FVRH6065,,,Scaffold,3,469802,,33.0,113.0,22,21,98.55,0.58,v1.2.3,PRJNA223990,,homo sapiens | blood,human,blood,GCA_000542255.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2838,GCA_000572525.1,Staphylococcus aureus FVRH6066,homo sapiens,blood,,,,2834,,allpaths v. R48476,SAMN02381727,FVRH6066,,,Scaffold,2,693441,,33.0,150.0,16,11,97.93,0.39,v1.2.3,PRJNA223988,,homo sapiens | blood,human,blood,GCA_000572525.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2839,GCA_000541995.1,Staphylococcus aureus FVRH6067,homo sapiens,wound,,,,2767,,allpaths v. R48275,SAMN02381714,FVRH6067,,,Scaffold,2,798135,,32.5,119.0,11,9,97.99,0.39,v1.2.4,PRJNA223975,,homo sapiens | wound,human,wound,GCA_000541995.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2840,GCA_000542015.1,Staphylococcus aureus FVRH6074,homo sapiens,wound,,,,2757,,allpaths v. R48275,SAMN02381715,FVRH6074,,,Scaffold,2,693428,,33.0,123.0,14,13,97.87,0.39,v1.2.4,PRJNA223976,,homo sapiens | wound,human,wound,GCA_000542015.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2841,GCA_000572505.1,Staphylococcus aureus FVRH6079,homo sapiens,wound,,,,2795,,allpaths v. R48476,SAMN02381730,FVRH6079,,,Scaffold,2,578125,,32.5,185.0,10,6,97.87,0.33,v1.2.3,PRJNA223991,,homo sapiens | wound,human,wound,GCA_000572505.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2842,GCA_000543265.1,Staphylococcus aureus FVRH6118,homo sapiens,blood,,,,2838,,allpaths v. R48268,SAMN02381839,FVRH6118,,,Scaffold,3,594560,,33.0,119.0,13,11,97.99,0.39,v1.2.4,PRJNA224082,,homo sapiens | blood,human,blood,GCA_000543265.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2843,GCA_000542725.1,Staphylococcus aureus FVRH6130,homo sapiens,blood,,,,2737,,allpaths v. R48275,SAMN02381772,FVRH6130,,,Scaffold,3,346378,,32.5,114.0,19,15,98.19,0.45,v1.2.3,PRJNA224033,,homo sapiens | blood,human,blood,GCA_000542725.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2844,GCA_000542745.1,Staphylococcus aureus FVRH6131,homo sapiens,blood,,,,2803,,allpaths v. R48268,SAMN02381773,FVRH6131,,,Scaffold,2,569284,,32.5,80.0,13,10,97.96,0.41,v1.2.4,PRJNA224034,,homo sapiens | blood,human,blood,GCA_000542745.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2845,GCA_000542825.1,Staphylococcus aureus FVRH6132,homo sapiens,blood,,,,2816,,allpaths v. R48275,SAMN02381777,FVRH6132,,,Scaffold,2,693432,,33.0,95.0,11,10,97.99,0.39,v1.2.3,PRJNA224038,,homo sapiens | blood,human,blood,GCA_000542825.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2846,GCA_000639075.1,Staphylococcus aureus GD2010-052,sus scrofa,bodily fluid,,,,2660,,allpaths v. R48559,SAMN02391394,GD2010-052,,,Scaffold,4,148328,,33.0,94.0,36,35,98.78,1.19,v1.2.3,PRJNA226522,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000639075.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2847,GCA_000639095.1,Staphylococcus aureus GD2010-061,sus scrofa,bodily fluid,,,,2631,,allpaths v. R48559,SAMN02391395,GD2010-061,,,Scaffold,6,137848,,33.0,88.0,35,33,98.46,0.39,v1.2.3,PRJNA226523,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000639095.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2848,GCA_000639135.1,Staphylococcus aureus GD2010-102,sus scrofa,bodily fluid,,,,2628,,allpaths v. R48559,SAMN02391396,GD2010-102,,,Scaffold,6,185717,,33.0,92.0,43,41,98.56,0.98,v1.2.3,PRJNA226524,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000639135.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2849,GCA_000639155.1,Staphylococcus aureus GD2010-107,bos taurus,bodily fluid,,,,2613,,allpaths v. R48559,SAMN02391355,GD2010-107,,,Scaffold,5,208532,,33.0,91.0,33,31,98.44,0.46,v1.2.3,PRJNA226483,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000639155.1,,Netherlands,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2850,GCA_000639175.1,Staphylococcus aureus GD2010-110,bos taurus,bodily fluid,,,,2666,,allpaths v. R48559,SAMN02391354,GD2010-110,,,Scaffold,5,202448,,33.0,90.0,38,35,98.63,0.98,v1.2.3,PRJNA226482,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000639175.1,,Netherlands,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2851,GCA_000639195.1,Staphylococcus aureus GD2010-112,bos taurus,bodily fluid,,,,2639,,allpaths v. R48559,SAMN02391357,GD2010-112,,,Scaffold,6,170130,,33.0,91.0,44,42,98.07,0.5,v1.2.3,PRJNA226485,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000639195.1,,Netherlands,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2852,GCA_000639215.1,Staphylococcus aureus GD2010-115,homo sapiens,bodily fluid,,,,2631,,allpaths v. R48559,SAMN02391356,GD2010-115,,,Scaffold,5,215373,,33.0,90.0,44,43,98.68,0.43,v1.2.3,PRJNA226484,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000639215.1,,Netherlands,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2853,GCA_000639255.1,Staphylococcus aureus GD2010-147,homo sapiens,bodily fluid,,,,2654,,allpaths v. R48559,SAMN02391359,GD2010-147,,,Scaffold,4,138346,,33.0,91.0,30,29,98.58,0.39,v1.2.3,PRJNA226487,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000639255.1,,Netherlands,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2854,GCA_000639275.1,Staphylococcus aureus GD2010-155,bos taurus,bodily fluid,,,,2636,,allpaths v. R48559,SAMN02391360,GD2010-155,,,Scaffold,3,299646,,33.0,89.0,25,24,98.66,0.39,v1.2.3,PRJNA226488,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000639275.1,,Netherlands,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2855,GCA_000639295.1,Staphylococcus aureus GD2010-158,homo sapiens,bodily fluid,,,,2651,,allpaths v. R48559,SAMN02391361,GD2010-158,,,Scaffold,4,299371,,33.0,91.0,34,33,98.69,1.03,v1.2.3,PRJNA226489,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000639295.1,,Netherlands,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2856,GCA_000639315.1,Staphylococcus aureus GD2010-168,bos taurus,bodily fluid,,,,2548,,allpaths v. R48559,SAMN02391364,GD2010-168,,,Scaffold,6,148109,,33.0,90.0,43,41,98.09,0.39,v1.2.3,PRJNA226492,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000639315.1,,Netherlands,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2857,GCA_000639335.1,Staphylococcus aureus GD2010-177,bos taurus,bodily fluid,,,,2627,,allpaths v. R48559,SAMN02391352,GD2010-177,,,Scaffold,6,215792,,33.0,91.0,39,38,98.66,1.05,v1.2.3,PRJNA226480,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000639335.1,,Netherlands,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2858,GCA_000540175.1,Staphylococcus aureus GGMC6003,homo sapiens,,,,,2817,,allpaths v. R48275,SAMN02381571,GGMC6003,,,Scaffold,4,260988,,33.0,119.0,32,28,98.83,0.39,v1.2.4,PRJNA223830,,homo sapiens,human,,GCA_000540175.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2859,GCA_000572965.1,Staphylococcus aureus GGMC6004,homo sapiens,,,,,2901,,allpaths v. R48476,SAMN02381568,GGMC6004,,,Scaffold,3,335316,,33.0,185.0,27,10,98.83,0.39,v1.2.3,PRJNA223827,,homo sapiens,human,,GCA_000572965.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2860,GCA_000538055.1,Staphylococcus aureus GGMC6010,homo sapiens,blood,,,,2841,,allpaths v. R48275,SAMN02381432,GGMC6010,,,Scaffold,5,260083,,33.0,88.0,36,33,98.83,0.39,v1.2.4,PRJNA223691,,homo sapiens | blood,human,blood,GCA_000538055.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2861,GCA_000542075.1,Staphylococcus aureus GGMC6018,homo sapiens,wound,,,,2769,,allpaths v. R48275,SAMN02381718,GGMC6018,,,Scaffold,2,771837,,32.5,88.0,10,8,97.4,0.39,v1.2.3,PRJNA223979,,homo sapiens | wound,human,wound,GCA_000542075.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2862,GCA_000542275.1,Staphylococcus aureus GGMC6024,homo sapiens,blood,,,,2784,,allpaths v. R48275,SAMN02381731,GGMC6024,,,Scaffold,4,285027,,33.0,88.0,29,27,98.67,0.45,v1.2.3,PRJNA223992,,homo sapiens | blood,human,blood,GCA_000542275.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2863,GCA_000542515.1,Staphylococcus aureus GGMC6026,homo sapiens,blood,,,,2807,,allpaths v. R48275,SAMN02381752,GGMC6026,,,Scaffold,4,288023,,33.0,123.0,21,20,98.67,0.53,v1.2.3,PRJNA224013,,homo sapiens | blood,human,blood,GCA_000542515.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2864,GCA_000542635.1,Staphylococcus aureus GGMC6027,homo sapiens,sputum,,,,2769,,allpaths v. R48275,SAMN02381763,GGMC6027,,,Scaffold,2,693445,,32.5,98.0,11,9,97.99,0.39,v1.2.4,PRJNA224024,,homo sapiens | sputum,human,sputum,GCA_000542635.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2865,GCA_000542905.1,Staphylococcus aureus GGMC6036,homo sapiens,blood,,,,2751,,allpaths v. R48275,SAMN02381783,GGMC6036,,,Scaffold,2,517871,,32.5,115.0,8,6,97.4,0.39,v1.2.3,PRJNA224044,,homo sapiens | blood,human,blood,GCA_000542905.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2866,GCA_000543205.1,Staphylococcus aureus GGMC6043,homo sapiens,sputum,,,,2743,,allpaths v. R48275,SAMN02381833,GGMC6043,,,Scaffold,8,154039,,33.0,123.0,44,40,98.51,0.39,v1.2.3,PRJNA224076,,homo sapiens | sputum,human,sputum,GCA_000543205.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2867,GCA_000541195.1,Staphylococcus aureus GGMC6049,homo sapiens,blood,,,,2844,,allpaths v. R48275,SAMN02381649,GGMC6049,,,Scaffold,2,726965,,33.0,118.0,15,14,97.95,0.39,v1.2.4,PRJNA223908,,homo sapiens | blood,human,blood,GCA_000541195.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2868,GCA_000543245.1,Staphylococcus aureus GGMC6053,homo sapiens,blood,,,,2833,,allpaths v. R48275,SAMN02381837,GGMC6053,,,Scaffold,3,499086,,33.0,124.0,28,27,98.87,0.39,v1.2.3,PRJNA224080,,homo sapiens | blood,human,blood,GCA_000543245.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2869,GCA_000604965.1,Staphylococcus aureus H12662,homo sapiens,nares,,,,2767,,allpaths v. R48559,SAMN02402510,H12662,,,Scaffold,4,310308,,32.5,48.0,22,20,97.69,0.39,v1.2.3,PRJNA227586,,homo sapiens | nares,human,nares,GCA_000604965.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2870,GCA_000559945.1,Staphylococcus aureus H12818,homo sapiens,nares,,,,2573,,allpaths v. R48154,SAMN02383651,H12818,,,Scaffold,7,140849,,32.5,91.0,45,43,98.67,0.39,v1.2.3,PRJNA224361,,homo sapiens | nares,human,nares,GCA_000559945.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2871,GCA_000570135.1,Staphylococcus aureus H12893,homo sapiens,nares,,,,2762,,allpaths v. R48490,SAMN02385480,H12893,,,Scaffold,8,155510,,32.5,122.0,47,45,98.87,0.39,v1.2.3,PRJNA225158,,homo sapiens | nares,human,nares,GCA_000570135.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2872,GCA_000570115.1,Staphylococcus aureus H12930,homo sapiens,nares,,,,2690,,allpaths v. R48504,SAMN02385481,H12930,,,Scaffold,3,374559,,33.0,115.0,9,8,97.99,0.39,v1.2.3,PRJNA225159,,homo sapiens | nares,human,nares,GCA_000570115.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2873,GCA_000577435.1,Staphylococcus aureus H16097,homo sapiens,nares,,,,2743,,allpaths v. R48534,SAMN02385482,H16097,,,Scaffold,1,1733701,,32.5,146.0,12,10,97.99,0.39,v1.2.3,PRJNA225160,,homo sapiens | nares,human,nares,GCA_000577435.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2874,GCA_000605005.1,Staphylococcus aureus H19392,homo sapiens,nares,,,,2750,,allpaths v. R48559,SAMN02402513,H19392,,,Scaffold,6,165192,,32.5,49.0,38,36,98.83,0.58,v1.2.3,PRJNA227589,,homo sapiens | nares,human,nares,GCA_000605005.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2875,GCA_000577455.1,Staphylococcus aureus H19476,homo sapiens,nares,,,,2793,,allpaths v. R48534,SAMN02385483,H19476,,,Scaffold,3,244317,,33.0,141.0,22,13,98.75,0.39,v1.2.3,PRJNA225161,,homo sapiens | nares,human,nares,GCA_000577455.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2876,GCA_000559805.1,Staphylococcus aureus H19520,homo sapiens,nares,,,,2761,,allpaths v. R48140,SAMN02383643,H19520,,,Scaffold,5,299517,,33.0,82.0,37,35,97.87,0.53,v1.2.3,PRJNA224353,,homo sapiens | nares,human,nares,GCA_000559805.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2877,GCA_000561085.1,Staphylococcus aureus H21924,homo sapiens,nares,,,,2801,,allpaths v. R48140,SAMN02383716,H21924,,,Scaffold,3,288391,,32.5,89.0,20,18,97.87,0.33,v1.2.3,PRJNA224427,,homo sapiens | nares,human,nares,GCA_000561085.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2878,GCA_000561065.1,Staphylococcus aureus H21935,homo sapiens,nares,,,,2730,,allpaths v. R48140,SAMN02383715,H21935,,,Scaffold,1,1803055,,33.0,89.0,4,2,97.99,0.39,v1.2.3,PRJNA224426,,homo sapiens | nares,human,nares,GCA_000561065.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2879,GCA_000605025.1,Staphylococcus aureus H22632,homo sapiens,nares,,,,2717,,allpaths v. R48559,SAMN02402517,H22632,,,Scaffold,6,161613,,32.5,48.0,36,34,97.26,1.27,v1.2.3,PRJNA227593,,homo sapiens | nares,human,nares,GCA_000605025.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2880,GCA_000605045.1,Staphylococcus aureus H22637,homo sapiens,nares,,,,2766,,allpaths v. R48559,SAMN02402518,H22637,,,Scaffold,2,682720,,32.5,48.0,18,17,97.99,0.39,v1.2.3,PRJNA227594,,homo sapiens | nares,human,nares,GCA_000605045.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2881,GCA_000587615.1,Staphylococcus aureus H22656,homo sapiens,,,,,2824,,allpaths v. R48559,SAMN02403136,H22656,,,Scaffold,4,298752,,32.5,47.0,24,23,97.99,0.39,v1.2.3,PRJNA227826,,homo sapiens,human,,GCA_000587615.1,,USA,,Throat,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2882,GCA_000562635.1,Staphylococcus aureus H23829,homo sapiens,nares,,,,2765,,allpaths v. R48140,SAMN02383806,H23829,,,Scaffold,3,468757,,33.0,89.0,27,26,97.99,1.11,v1.2.3,PRJNA224517,,homo sapiens | nares,human,nares,GCA_000562635.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2883,GCA_000562655.1,Staphylococcus aureus H23830,homo sapiens,throat,,,,2752,,allpaths v. R48140,SAMN02383807,H23830,,,Scaffold,3,483340,,32.5,87.0,21,18,97.99,0.39,v1.2.3,PRJNA224518,,homo sapiens | throat,human,throat,GCA_000562655.1,,,,Throat,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2884,GCA_000561185.1,Staphylococcus aureus H24884,homo sapiens,nares,,,,2815,,allpaths v. R48140,SAMN02383721,H24884,,,Scaffold,3,256583,,32.5,92.0,33,30,97.97,0.41,v1.2.3,PRJNA224432,,homo sapiens | nares,human,nares,GCA_000561185.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2885,GCA_000577475.1,Staphylococcus aureus H25869,homo sapiens,nares,,,,2874,,allpaths v. R48559,SAMN02385484,H25869,,,Scaffold,3,561350,,32.5,115.0,19,10,97.99,0.39,v1.2.3,PRJNA225162,,homo sapiens | nares,human,nares,GCA_000577475.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2886,GCA_000570095.1,Staphylococcus aureus H25872,homo sapiens,nares,,,,2675,,allpaths v. R48504,SAMN02385485,H25872,,,Scaffold,6,168726,,33.0,121.0,28,27,98.64,0.39,v1.2.3,PRJNA225163,,homo sapiens | nares,human,nares,GCA_000570095.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2887,GCA_000561345.1,Staphylococcus aureus H27761,homo sapiens,nares,,,,2802,,allpaths v. R48140,SAMN02383730,H27761,,,Scaffold,3,375073,,32.5,96.0,46,44,97.83,0.7,v1.2.3,PRJNA224441,,homo sapiens | nares,human,nares,GCA_000561345.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2888,GCA_000561365.1,Staphylococcus aureus H27777,homo sapiens,nares,,,,2538,,allpaths v. R48140,SAMN02383731,H27777,,,Scaffold,5,181497,,32.5,88.0,37,36,97.99,0.39,v1.2.3,PRJNA224442,,homo sapiens | nares,human,nares,GCA_000561365.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2889,GCA_000561645.1,Staphylococcus aureus H30732,homo sapiens,nares,,,,2671,,allpaths v. R48140,SAMN02383747,H30732,,,Scaffold,10,92613,,33.0,93.0,49,45,98.48,0.39,v1.2.3,PRJNA224458,,homo sapiens | nares,human,nares,GCA_000561645.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2890,GCA_000587595.1,Staphylococcus aureus H31084,homo sapiens,,,,,2739,,allpaths v. R48559,SAMN02403137,H31084,,,Scaffold,3,438345,,32.5,48.0,21,19,97.99,0.39,v1.2.3,PRJNA227827,,homo sapiens,human,,GCA_000587595.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2891,GCA_000587575.1,Staphylococcus aureus H31086,homo sapiens,,,,,2741,,allpaths v. R48559,SAMN02403139,H31086,,,Scaffold,3,438265,,32.5,47.0,21,20,97.99,0.39,v1.2.3,PRJNA227829,,homo sapiens,human,,GCA_000587575.1,,USA,,Skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2892,GCA_000563335.1,Staphylococcus aureus H31276,homo sapiens,,,,,2657,,allpaths v. R48140,SAMN02384073,H31276,,,Scaffold,7,155146,,33.0,91.0,38,35,97.89,0.39,v1.2.3,PRJNA224607,,homo sapiens,human,,GCA_000563335.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2893,GCA_000563355.1,Staphylococcus aureus H31290,homo sapiens,,,,,2732,,allpaths v. R48140,SAMN02384074,H31290,,,Scaffold,1,1603042,,33.0,91.0,6,2,97.59,0.39,v1.2.3,PRJNA224608,,homo sapiens,human,,GCA_000563355.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2894,GCA_000578195.1,Staphylococcus aureus H32166,homo sapiens,,,,,2766,,allpaths v. R48559,SAMN02398747,H32166,,,Scaffold,2,595643,,32.5,56.0,13,12,97.2,0.3,v1.2.3,PRJNA226806,,homo sapiens,human,,GCA_000578195.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2895,GCA_000578215.1,Staphylococcus aureus H32181,homo sapiens,,,,,2762,,allpaths v. R48559,SAMN02398749,H32181,,,Scaffold,2,566629,,32.5,57.0,16,15,97.34,0.39,v1.2.3,PRJNA226808,,homo sapiens,human,,GCA_000578215.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2896,GCA_000561525.1,Staphylococcus aureus H33602,homo sapiens,nares,,,,2811,,allpaths v. R48140,SAMN02383740,H33602,,,Scaffold,4,230241,,33.0,91.0,28,25,97.99,0.6,v1.2.3,PRJNA224451,,homo sapiens | nares,human,nares,GCA_000561525.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2897,GCA_000561545.1,Staphylococcus aureus H33636,homo sapiens,nares,,,,2768,,allpaths v. R48140,SAMN02383741,H33636,,,Scaffold,2,301668,,32.5,98.0,32,31,97.99,0.39,v1.2.3,PRJNA224452,,homo sapiens | nares,human,nares,GCA_000561545.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2898,GCA_000562775.1,Staphylococcus aureus H37776,homo sapiens,nares,,,,2753,,allpaths v. R48140,SAMN02383822,H37776,,,Scaffold,3,348282,,33.0,91.0,30,27,97.99,1.05,v1.2.3,PRJNA224533,,homo sapiens | nares,human,nares,GCA_000562775.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2899,GCA_000562795.1,Staphylococcus aureus H37781,homo sapiens,skin,,,,2746,,allpaths v. R48140,SAMN02383823,H37781,,,Scaffold,2,386278,,32.5,92.0,30,27,97.99,0.39,v1.2.3,PRJNA224534,,homo sapiens | skin,human,skin,GCA_000562795.1,,,,Skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2900,GCA_000578455.1,Staphylococcus aureus H38226,homo sapiens,,,,,2761,,allpaths v. R48559,SAMN02398771,H38226,,,Scaffold,5,161542,,33.0,57.0,40,38,98.55,0.39,v1.2.3,PRJNA226830,,homo sapiens,human,,GCA_000578455.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2901,GCA_000578475.1,Staphylococcus aureus H38239,homo sapiens,,,,,2676,,allpaths v. R48559,SAMN02398772,H38239,,,Scaffold,7,154381,,33.0,42.0,34,33,98.55,0.39,v1.2.3,PRJNA226831,,homo sapiens,human,,GCA_000578475.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2902,GCA_000563415.1,Staphylococcus aureus H40575,homo sapiens,,,,,2738,,allpaths v. R48140,SAMN02384078,H40575,,,Scaffold,1,2117784,,33.0,91.0,4,2,98.27,0.39,v1.2.3,PRJNA224613,,homo sapiens,human,,GCA_000563415.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2903,GCA_000563435.1,Staphylococcus aureus H40583,homo sapiens,,,,,2736,,allpaths v. R48252,SAMN02384079,H40583,,,Scaffold,1,1790797,,33.0,75.0,7,2,97.99,0.39,v1.2.3,PRJNA224614,,homo sapiens,human,,GCA_000563435.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2904,GCA_000578635.1,Staphylococcus aureus H41079,homo sapiens,,,,,2819,,allpaths v. R48559,SAMN02398785,H41079,,,Scaffold,4,318304,,32.5,46.0,24,23,97.96,0.39,v1.2.3,PRJNA226844,,homo sapiens,human,,GCA_000578635.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
