Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCA_000573065.1	Staphylococcus aureus LPIH6010	homo sapiens	NA	NA	NA	NA	2774	NA	allpaths v. R48476	SAMN02381587	LPIH6010	NA	NA	Scaffold	2	576149	NA	33	187	7	4	97.99	0.39	v1.2.3	PRJNA223846	NA	homo sapiens	human
GCF_000540475.1	Staphylococcus aureus LPIH6011	homo sapiens	NA	NA	NA	NA	2961	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381598	LPIH6011	NA	NA	Scaffold	2	798793	NA	32.5	104	14	13	97.99	0.41	v1.2.4	PRJNA223857	NA	homo sapiens	human
GCA_000540475.1	Staphylococcus aureus LPIH6011	homo sapiens	NA	NA	NA	NA	2808	NA	allpaths v. R48275	SAMN02381598	LPIH6011	NA	NA	Scaffold	2	798793	NA	32.5	104	14	13	97.99	0.41	v1.2.4	PRJNA223857	NA	homo sapiens	human
GCF_000538875.1	Staphylococcus aureus LPIH6021	homo sapiens	blood	NA	NA	NA	2888	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381493	LPIH6021	NA	NA	Scaffold	2	848500	NA	32.5	118	9	8	97.99	0.39	v1.2.4	PRJNA223752	NA	homo sapiens | blood	human
GCA_000538875.1	Staphylococcus aureus LPIH6021	homo sapiens	blood	NA	NA	NA	2734	NA	allpaths v. R48275	SAMN02381493	LPIH6021	NA	NA	Scaffold	2	848500	NA	32.5	118	9	8	97.99	0.39	v1.2.4	PRJNA223752	NA	homo sapiens | blood	human
GCF_000359945.1	Staphylococcus aureus M0001	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2923	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R41759	SAMN00792128	M0001	NA	NA	Scaffold	3	423642	NA	33	86	34	25	97.69	0.39	v1.2.3	PRJNA88565	NA	homo sapiens | genome sequencing of mrsa	human
GCA_000359945.1	Staphylococcus aureus M0001	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2770	NA	allpaths v. R41759	SAMN00792128	M0001	NA	NA	Scaffold	3	423642	NA	33	86	34	25	97.69	0.39	v1.2.3	PRJNA88565	NA	homo sapiens | genome sequencing of mrsa	human
GCF_000531375.1	Staphylococcus aureus M0002	homo sapiens	wound	NA	NA	NA	2981	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47729	SAMN02325676	M0002	NA	NA	Scaffold	6	152880	NA	33	140	36	7	98.43	0.39	v1.2.3	PRJNA216725	NA	homo sapiens | wound	human
GCA_000531375.1	Staphylococcus aureus M0002	homo sapiens	wound	NA	NA	NA	2827	NA	allpaths v. R47729	SAMN02325676	M0002	NA	NA	Scaffold	6	152880	NA	33	140	36	7	98.43	0.39	v1.2.3	PRJNA216725	NA	homo sapiens | wound	human
GCF_000550845.1	Staphylococcus aureus M0004	homo sapiens	sputum	NA	NA	NA	2915	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325110	M0004	NA	NA	Scaffold	6	161711	NA	33	94	43	40	98.51	0.39	v1.2.3	PRJNA216155	NA	homo sapiens | sputum	human
GCA_000550845.1	Staphylococcus aureus M0004	homo sapiens	sputum	NA	NA	NA	2759	NA	allpaths v. R47683	SAMN02325110	M0004	NA	NA	Scaffold	6	161711	NA	33	94	43	40	98.51	0.39	v1.2.3	PRJNA216155	NA	homo sapiens | sputum	human
GCF_000359965.1	Staphylococcus aureus M0006	homo sapiens	NA	NA	NA	NA	2957	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R42314	SAMN00809157	M0006	NA	NA	Scaffold	3	215488	NA	33	163	31	10	98.87	0.39	v1.2.4	PRJNA88921	NA	homo sapiens	human
GCA_000359965.1	Staphylococcus aureus M0006	homo sapiens	NA	NA	NA	NA	2815	NA	allpaths v. R42314	SAMN00809157	M0006	NA	NA	Scaffold	3	215488	NA	33	163	31	10	98.87	0.39	v1.2.4	PRJNA88921	NA	homo sapiens	human
GCF_000550985.1	Staphylococcus aureus M0012	homo sapiens	sputum	NA	NA	NA	2911	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325117	M0012	NA	NA	Scaffold	5	203332	NA	33	88	37	36	98.33	0.39	v1.2.3	PRJNA216162	NA	homo sapiens | sputum	human
GCA_000550985.1	Staphylococcus aureus M0012	homo sapiens	sputum	NA	NA	NA	2767	NA	allpaths v. R47683	SAMN02325117	M0012	NA	NA	Scaffold	5	203332	NA	33	88	37	36	98.33	0.39	v1.2.3	PRJNA216162	NA	homo sapiens | sputum	human
GCF_000531465.1	Staphylococcus aureus M0015	homo sapiens	sputum	NA	NA	NA	3037	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47729	SAMN02325677	M0015	NA	NA	Scaffold	4	221008	NA	33	156	37	25	98.28	0.39	v1.2.4	PRJNA216726	NA	homo sapiens | sputum	human
GCA_000531465.1	Staphylococcus aureus M0015	homo sapiens	sputum	NA	NA	NA	2883	NA	allpaths v. R47729	SAMN02325677	M0015	NA	NA	Scaffold	4	221008	NA	33	156	37	25	98.28	0.39	v1.2.4	PRJNA216726	NA	homo sapiens | sputum	human
GCF_000551065.1	Staphylococcus aureus M0017	homo sapiens	nares	NA	NA	NA	2911	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325121	M0017	NA	NA	Scaffold	4	244890	NA	33	91	39	38	98.51	0.39	v1.2.3	PRJNA216166	NA	homo sapiens | nares	human
GCA_000551065.1	Staphylococcus aureus M0017	homo sapiens	nares	NA	NA	NA	2755	NA	allpaths v. R47683	SAMN02325121	M0017	NA	NA	Scaffold	4	244890	NA	33	91	39	38	98.51	0.39	v1.2.3	PRJNA216166	NA	homo sapiens | nares	human
GCF_000551105.1	Staphylococcus aureus M0022	homo sapiens	sputum	NA	NA	NA	2935	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325124	M0022	NA	NA	Scaffold	3	416138	NA	33	118	31	29	98.28	0.39	v1.2.3	PRJNA216169	NA	homo sapiens | sputum	human
GCA_000551105.1	Staphylococcus aureus M0022	homo sapiens	sputum	NA	NA	NA	2796	NA	allpaths v. R48319	SAMN02325124	M0022	NA	NA	Scaffold	3	416138	NA	33	118	31	29	98.28	0.39	v1.2.3	PRJNA216169	NA	homo sapiens | sputum	human
GCF_000531495.1	Staphylococcus aureus M0023	homo sapiens	nares	NA	NA	NA	2895	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47784	SAMN02325678	M0023	NA	NA	Scaffold	3	342313	NA	33	273	21	13	98.33	0.39	v1.2.3	PRJNA216727	NA	homo sapiens | nares	human
GCA_000531495.1	Staphylococcus aureus M0023	homo sapiens	nares	NA	NA	NA	2749	NA	allpaths v. R47784	SAMN02325678	M0023	NA	NA	Scaffold	3	342313	NA	33	273	21	13	98.33	0.39	v1.2.3	PRJNA216727	NA	homo sapiens | nares	human
GCF_000551145.1	Staphylococcus aureus M0025	homo sapiens	blood	NA	NA	NA	2899	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325126	M0025	NA	NA	Scaffold	4	209806	NA	33	93	40	36	98.52	0.39	v1.2.3	PRJNA216171	NA	homo sapiens | blood	human
GCA_000551145.1	Staphylococcus aureus M0025	homo sapiens	blood	NA	NA	NA	2757	NA	allpaths v. R47683	SAMN02325126	M0025	NA	NA	Scaffold	4	209806	NA	33	93	40	36	98.52	0.39	v1.2.3	PRJNA216171	NA	homo sapiens | blood	human
GCF_000359985.1	Staphylococcus aureus M0029	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2913	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R41759	SAMN00792129	M0029	NA	NA	Scaffold	2	625515	NA	33	171	9	3	98.82	0.39	v1.2.3	PRJNA88567	NA	homo sapiens | genome sequencing of mrsa	human
GCA_000359985.1	Staphylococcus aureus M0029	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2764	NA	allpaths v. R41759	SAMN00792129	M0029	NA	NA	Scaffold	2	625515	NA	33	171	9	3	98.82	0.39	v1.2.3	PRJNA88567	NA	homo sapiens | genome sequencing of mrsa	human
GCF_000551245.1	Staphylococcus aureus M0031	homo sapiens	fluid	NA	NA	NA	2863	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325131	M0031	NA	NA	Scaffold	7	153928	NA	33	91	40	38	98.84	0.42	v1.2.3	PRJNA216176	NA	homo sapiens | fluid	human
GCA_000551245.1	Staphylococcus aureus M0031	homo sapiens	fluid	NA	NA	NA	2714	NA	allpaths v. R47683	SAMN02325131	M0031	NA	NA	Scaffold	7	153928	NA	33	91	40	38	98.84	0.42	v1.2.3	PRJNA216176	NA	homo sapiens | fluid	human
GCF_000531555.1	Staphylococcus aureus M0032	homo sapiens	nares	NA	NA	NA	2955	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47784	SAMN02325679	M0032	NA	NA	Scaffold	3	290762	NA	33	146	30	22	98.28	1.07	v1.2.4	PRJNA216728	NA	homo sapiens | nares	human
GCA_000531555.1	Staphylococcus aureus M0032	homo sapiens	nares	NA	NA	NA	2800	NA	allpaths v. R47784	SAMN02325679	M0032	NA	NA	Scaffold	3	290762	NA	33	146	30	22	98.28	1.07	v1.2.4	PRJNA216728	NA	homo sapiens | nares	human
GCF_000551265.1	Staphylococcus aureus M0034	homo sapiens	nares	NA	NA	NA	2919	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325132	M0034	NA	NA	Scaffold	6	174763	NA	33	90	44	42	98.82	0.39	v1.2.3	PRJNA216177	NA	homo sapiens | nares	human
GCA_000551265.1	Staphylococcus aureus M0034	homo sapiens	nares	NA	NA	NA	2771	NA	allpaths v. R47683	SAMN02325132	M0034	NA	NA	Scaffold	6	174763	NA	33	90	44	42	98.82	0.39	v1.2.3	PRJNA216177	NA	homo sapiens | nares	human
GCF_000360005.1	Staphylococcus aureus M0035	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2896	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R41759	SAMN00792130	M0035	NA	NA	Scaffold	2	572695	NA	33	168	13	4	97.4	0.42	v1.2.4	PRJNA88569	NA	homo sapiens | genome sequencing of mrsa	human
GCA_000360005.1	Staphylococcus aureus M0035	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2757	NA	allpaths v. R41759	SAMN00792130	M0035	NA	NA	Scaffold	2	572695	NA	33	168	13	4	97.4	0.42	v1.2.4	PRJNA88569	NA	homo sapiens | genome sequencing of mrsa	human
GCF_000551365.1	Staphylococcus aureus M0041	homo sapiens	sputum	NA	NA	NA	2892	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325138	M0041	NA	NA	Scaffold	5	158240	NA	33	90	47	45	98.01	2.42	v1.2.4	PRJNA216183	NA	homo sapiens | sputum	human
GCA_000551365.1	Staphylococcus aureus M0041	homo sapiens	sputum	NA	NA	NA	2751	NA	allpaths v. R47683	SAMN02325138	M0041	NA	NA	Scaffold	5	158240	NA	33	90	47	45	98.01	2.42	v1.2.4	PRJNA216183	NA	homo sapiens | sputum	human
GCF_000360025.1	Staphylococcus aureus M0045	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2988	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R41759	SAMN00792131	M0045	NA	NA	Scaffold	4	379944	NA	33	169	27	7	98.28	0.39	v1.2.3	PRJNA88571	NA	homo sapiens | genome sequencing of mrsa	human
GCA_000360025.1	Staphylococcus aureus M0045	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2853	NA	allpaths v. R41759	SAMN00792131	M0045	NA	NA	Scaffold	4	379944	NA	33	169	27	7	98.28	0.39	v1.2.3	PRJNA88571	NA	homo sapiens | genome sequencing of mrsa	human
GCF_000551445.1	Staphylococcus aureus M0046	homo sapiens	blood	NA	NA	NA	2853	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325142	M0046	NA	NA	Scaffold	7	159757	NA	33	91	45	41	98.84	1.39	v1.2.3	PRJNA216187	NA	homo sapiens | blood	human
GCA_000551445.1	Staphylococcus aureus M0046	homo sapiens	blood	NA	NA	NA	2716	NA	allpaths v. R47683	SAMN02325142	M0046	NA	NA	Scaffold	7	159757	NA	33	91	45	41	98.84	1.39	v1.2.3	PRJNA216187	NA	homo sapiens | blood	human
GCF_000531615.1	Staphylococcus aureus M0047	homo sapiens	bronchial washings	NA	NA	NA	3017	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47729	SAMN02325680	M0047	NA	NA	Scaffold	4	245718	NA	32.5	145	31	17	98.37	0.51	v1.2.3	PRJNA216729	NA	homo sapiens | bronchial washings	human
GCA_000531615.1	Staphylococcus aureus M0047	homo sapiens	bronchial washings	NA	NA	NA	2869	NA	allpaths v. R47729	SAMN02325680	M0047	NA	NA	Scaffold	4	245718	NA	32.5	145	31	17	98.37	0.51	v1.2.3	PRJNA216729	NA	homo sapiens | bronchial washings	human
GCF_000551485.1	Staphylococcus aureus M0049	homo sapiens	sputum	NA	NA	NA	2912	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325144	M0049	NA	NA	Scaffold	7	150180	NA	33	91	47	45	98.11	0.41	v1.2.3	PRJNA216189	NA	homo sapiens | sputum	human
GCA_000551485.1	Staphylococcus aureus M0049	homo sapiens	sputum	NA	NA	NA	2761	NA	allpaths v. R47683	SAMN02325144	M0049	NA	NA	Scaffold	7	150180	NA	33	91	47	45	98.11	0.41	v1.2.3	PRJNA216189	NA	homo sapiens | sputum	human
GCF_000551545.1	Staphylococcus aureus M0054	homo sapiens	sputum	NA	NA	NA	2928	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325148	M0054	NA	NA	Scaffold	3	464540	NA	33	116	25	24	98.28	0.39	v1.2.3	PRJNA216193	NA	homo sapiens | sputum	human
GCA_000551545.1	Staphylococcus aureus M0054	homo sapiens	sputum	NA	NA	NA	2783	NA	allpaths v. R48319	SAMN02325148	M0054	NA	NA	Scaffold	3	464540	NA	33	116	25	24	98.28	0.39	v1.2.3	PRJNA216193	NA	homo sapiens | sputum	human
GCF_000360045.1	Staphylococcus aureus M0055	homo sapiens	NA	NA	NA	NA	2947	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R42314	SAMN00809158	M0055	NA	NA	Scaffold	7	160958	NA	32.5	166	39	5	97.84	0.51	v1.2.3	PRJNA88923	NA	homo sapiens	human
GCA_000360045.1	Staphylococcus aureus M0055	homo sapiens	NA	NA	NA	NA	2796	NA	allpaths v. R42314	SAMN00809158	M0055	NA	NA	Scaffold	7	160958	NA	32.5	166	39	5	97.84	0.51	v1.2.3	PRJNA88923	NA	homo sapiens	human
GCF_000360065.1	Staphylococcus aureus M0060	homo sapiens	NA	NA	NA	NA	2936	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R41759	SAMN00809159	M0060	NA	NA	Scaffold	2	453604	NA	33	165	30	12	98.28	0.39	v1.2.4	PRJNA88925	NA	homo sapiens	human
GCA_000360065.1	Staphylococcus aureus M0060	homo sapiens	NA	NA	NA	NA	2798	NA	allpaths v. R41759	SAMN00809159	M0060	NA	NA	Scaffold	2	453604	NA	33	165	30	12	98.28	0.39	v1.2.4	PRJNA88925	NA	homo sapiens	human
GCF_000551605.1	Staphylococcus aureus M0061	homo sapiens	nares	NA	NA	NA	2931	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325152	M0061	NA	NA	Scaffold	3	254556	NA	33	117	32	30	98.28	0.39	v1.2.3	PRJNA216197	NA	homo sapiens | nares	human
GCA_000551605.1	Staphylococcus aureus M0061	homo sapiens	nares	NA	NA	NA	2793	NA	allpaths v. R48319	SAMN02325152	M0061	NA	NA	Scaffold	3	254556	NA	33	117	32	30	98.28	0.39	v1.2.3	PRJNA216197	NA	homo sapiens | nares	human
GCF_000551625.1	Staphylococcus aureus M0063	homo sapiens	nares	NA	NA	NA	2883	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325154	M0063	NA	NA	Scaffold	5	221213	NA	33	95	48	45	98.13	0.98	v1.2.3	PRJNA216199	NA	homo sapiens | nares	human
GCA_000551625.1	Staphylococcus aureus M0063	homo sapiens	nares	NA	NA	NA	2730	NA	allpaths v. R47683	SAMN02325154	M0063	NA	NA	Scaffold	5	221213	NA	33	95	48	45	98.13	0.98	v1.2.3	PRJNA216199	NA	homo sapiens | nares	human
GCF_000551645.1	Staphylococcus aureus M0064	homo sapiens	nares	NA	NA	NA	2900	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325155	M0064	NA	NA	Scaffold	5	209878	NA	33	91	46	44	98.82	0.74	v1.2.3	PRJNA216200	NA	homo sapiens | nares	human
GCA_000551645.1	Staphylococcus aureus M0064	homo sapiens	nares	NA	NA	NA	2761	NA	allpaths v. R47683	SAMN02325155	M0064	NA	NA	Scaffold	5	209878	NA	33	91	46	44	98.82	0.74	v1.2.3	PRJNA216200	NA	homo sapiens | nares	human
GCF_000551665.1	Staphylococcus aureus M0065	homo sapiens	nares	NA	NA	NA	2937	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325156	M0065	NA	NA	Scaffold	4	329145	NA	33	115	33	32	98.28	0.43	v1.2.3	PRJNA216201	NA	homo sapiens | nares	human
GCA_000551665.1	Staphylococcus aureus M0065	homo sapiens	nares	NA	NA	NA	2786	NA	allpaths v. R48319	SAMN02325156	M0065	NA	NA	Scaffold	4	329145	NA	33	115	33	32	98.28	0.43	v1.2.3	PRJNA216201	NA	homo sapiens | nares	human
GCF_000360085.1	Staphylococcus aureus M0066	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2961	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R41759	SAMN00792133	M0066	NA	NA	Scaffold	4	303735	NA	33	170	18	6	98.84	0.39	v1.2.3	PRJNA88575	NA	homo sapiens | genome sequencing of mrsa	human
GCA_000360085.1	Staphylococcus aureus M0066	homo sapiens	NA	NA	genome sequencing of mrsa	NA	2808	NA	allpaths v. R41759	SAMN00792133	M0066	NA	NA	Scaffold	4	303735	NA	33	170	18	6	98.84	0.39	v1.2.3	PRJNA88575	NA	homo sapiens | genome sequencing of mrsa	human
GCF_000551685.1	Staphylococcus aureus M0069	homo sapiens	nares	NA	NA	NA	2980	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325159	M0069	NA	NA	Scaffold	2	747558	NA	33	117	31	29	98.28	0.39	v1.2.3	PRJNA216204	NA	homo sapiens | nares	human
GCA_000551685.1	Staphylococcus aureus M0069	homo sapiens	nares	NA	NA	NA	2844	NA	allpaths v. R48319	SAMN02325159	M0069	NA	NA	Scaffold	2	747558	NA	33	117	31	29	98.28	0.39	v1.2.3	PRJNA216204	NA	homo sapiens | nares	human
GCF_000551745.1	Staphylococcus aureus M0074	homo sapiens	sputum	NA	NA	NA	2891	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47683	SAMN02325163	M0074	NA	NA	Scaffold	6	162809	NA	33	89	46	45	98.55	0.67	v1.2.3	PRJNA216208	NA	homo sapiens | sputum	human
GCA_000551745.1	Staphylococcus aureus M0074	homo sapiens	sputum	NA	NA	NA	2747	NA	allpaths v. R47683	SAMN02325163	M0074	NA	NA	Scaffold	6	162809	NA	33	89	46	45	98.55	0.67	v1.2.3	PRJNA216208	NA	homo sapiens | sputum	human
GCF_000551765.1	Staphylococcus aureus M0076	homo sapiens	nares	NA	NA	NA	2894	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48416	SAMN02325164	M0076	NA	NA	Scaffold	3	422488	NA	33	116	18	14	98.55	0.33	v1.2.3	PRJNA216209	NA	homo sapiens | nares	human
GCA_000551765.1	Staphylococcus aureus M0076	homo sapiens	nares	NA	NA	NA	2756	NA	allpaths v. R48416	SAMN02325164	M0076	NA	NA	Scaffold	3	422488	NA	33	116	18	14	98.55	0.33	v1.2.3	PRJNA216209	NA	homo sapiens | nares	human
GCF_000360105.1	Staphylococcus aureus M0077	homo sapiens	NA	NA	NA	NA	2934	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R42314	SAMN00809160	M0077	NA	NA	Scaffold	3	231001	NA	33	163	36	7	98.08	0.39	v1.2.3	PRJNA88927	NA	homo sapiens	human
GCA_000360105.1	Staphylococcus aureus M0077	homo sapiens	NA	NA	NA	NA	2790	NA	allpaths v. R42314	SAMN00809160	M0077	NA	NA	Scaffold	3	231001	NA	33	163	36	7	98.08	0.39	v1.2.3	PRJNA88927	NA	homo sapiens	human
GCF_000531735.1	Staphylococcus aureus M0078	homo sapiens	wound	NA	NA	NA	2920	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47729	SAMN02325682	M0078	NA	NA	Scaffold	5	238784	NA	33	142	30	19	98.55	0.33	v1.2.3	PRJNA216731	NA	homo sapiens | wound	human
GCA_000531735.1	Staphylococcus aureus M0078	homo sapiens	wound	NA	NA	NA	2774	NA	allpaths v. R47729	SAMN02325682	M0078	NA	NA	Scaffold	5	238784	NA	33	142	30	19	98.55	0.33	v1.2.3	PRJNA216731	NA	homo sapiens | wound	human
GCF_000551785.1	Staphylococcus aureus M0079	homo sapiens	wound	NA	NA	NA	2897	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325165	M0079	NA	NA	Scaffold	2	845250	NA	33	120	13	12	98.55	0.33	v1.2.3	PRJNA216210	NA	homo sapiens | wound	human
GCA_000551785.1	Staphylococcus aureus M0079	homo sapiens	wound	NA	NA	NA	2750	NA	allpaths v. R48319	SAMN02325165	M0079	NA	NA	Scaffold	2	845250	NA	33	120	13	12	98.55	0.33	v1.2.3	PRJNA216210	NA	homo sapiens | wound	human
GCF_000551825.1	Staphylococcus aureus M0081	homo sapiens	nares	NA	NA	NA	2986	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325167	M0081	NA	NA	Scaffold	4	248384	NA	33	116	35	33	98.28	0.39	v1.2.3	PRJNA216212	NA	homo sapiens | nares	human
GCA_000551825.1	Staphylococcus aureus M0081	homo sapiens	nares	NA	NA	NA	2844	NA	allpaths v. R48319	SAMN02325167	M0081	NA	NA	Scaffold	4	248384	NA	33	116	35	33	98.28	0.39	v1.2.3	PRJNA216212	NA	homo sapiens | nares	human
GCF_000551885.1	Staphylococcus aureus M0084	homo sapiens	sputum	NA	NA	NA	2895	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325170	M0084	NA	NA	Scaffold	3	416082	NA	33	123	19	17	98.55	0.33	v1.2.3	PRJNA216215	NA	homo sapiens | sputum	human
GCA_000551885.1	Staphylococcus aureus M0084	homo sapiens	sputum	NA	NA	NA	2755	NA	allpaths v. R48319	SAMN02325170	M0084	NA	NA	Scaffold	3	416082	NA	33	123	19	17	98.55	0.33	v1.2.3	PRJNA216215	NA	homo sapiens | sputum	human
GCF_000531775.1	Staphylococcus aureus M0088	homo sapiens	sputum	NA	NA	NA	2990	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R47784	SAMN02325683	M0088	NA	NA	Scaffold	8	161530	NA	33	143	34	9	98.13	0.39	v1.2.4	PRJNA216732	NA	homo sapiens | sputum	human
GCA_000531775.1	Staphylococcus aureus M0088	homo sapiens	sputum	NA	NA	NA	2832	NA	allpaths v. R47784	SAMN02325683	M0088	NA	NA	Scaffold	8	161530	NA	33	143	34	9	98.13	0.39	v1.2.4	PRJNA216732	NA	homo sapiens | sputum	human
GCF_000551945.1	Staphylococcus aureus M0089	homo sapiens	sputum	NA	NA	NA	2832	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325174	M0089	NA	NA	Scaffold	3	450585	NA	33	116	10	8	98.55	0.33	v1.2.3	PRJNA216219	NA	homo sapiens | sputum	human
GCA_000551945.1	Staphylococcus aureus M0089	homo sapiens	sputum	NA	NA	NA	2683	NA	allpaths v. R48319	SAMN02325174	M0089	NA	NA	Scaffold	3	450585	NA	33	116	10	8	98.55	0.33	v1.2.3	PRJNA216219	NA	homo sapiens | sputum	human
GCF_000551965.1	Staphylococcus aureus M0092	homo sapiens	sputum	NA	NA	NA	2766	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325175	M0092	NA	NA	Scaffold	3	356773	NA	33	116	13	12	98.72	0.39	v1.2.3	PRJNA216220	NA	homo sapiens | sputum	human
GCA_000551965.1	Staphylococcus aureus M0092	homo sapiens	sputum	NA	NA	NA	2625	NA	allpaths v. R48319	SAMN02325175	M0092	NA	NA	Scaffold	3	356773	NA	33	116	13	12	98.72	0.39	v1.2.3	PRJNA216220	NA	homo sapiens | sputum	human
GCF_000551985.1	Staphylococcus aureus M0093	homo sapiens	bronchial alveolar lavage	NA	NA	NA	2868	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325176	M0093	NA	NA	Scaffold	4	379858	NA	33	115	27	26	98.8	0.39	v1.2.3	PRJNA216221	NA	homo sapiens | bronchial alveolar lavage	human
GCA_000551985.1	Staphylococcus aureus M0093	homo sapiens	bronchial alveolar lavage	NA	NA	NA	2724	NA	allpaths v. R48319	SAMN02325176	M0093	NA	NA	Scaffold	4	379858	NA	33	115	27	26	98.8	0.39	v1.2.3	PRJNA216221	NA	homo sapiens | bronchial alveolar lavage	human
GCF_000552005.1	Staphylococcus aureus M0094	homo sapiens	nares	NA	NA	NA	2897	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48416	SAMN02325177	M0094	NA	NA	Scaffold	3	553726	NA	33	76	16	15	98.55	0.33	v1.2.3	PRJNA216222	NA	homo sapiens | nares	human
GCA_000552005.1	Staphylococcus aureus M0094	homo sapiens	nares	NA	NA	NA	2751	NA	allpaths v. R48416	SAMN02325177	M0094	NA	NA	Scaffold	3	553726	NA	33	76	16	15	98.55	0.33	v1.2.3	PRJNA216222	NA	homo sapiens | nares	human
GCF_000552025.1	Staphylococcus aureus M0095	homo sapiens	sputum	NA	NA	NA	2895	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48319	SAMN02325178	M0095	NA	NA	Scaffold	2	416277	NA	33	116	16	14	98.55	0.33	v1.2.3	PRJNA216223	NA	homo sapiens | sputum	human
GCA_000552025.1	Staphylococcus aureus M0095	homo sapiens	sputum	NA	NA	NA	2748	NA	allpaths v. R48319	SAMN02325178	M0095	NA	NA	Scaffold	2	416277	NA	33	116	16	14	98.55	0.33	v1.2.3	PRJNA216223	NA	homo sapiens | sputum	human
GCF_000552045.1	Staphylococcus aureus M0096	homo sapiens	tip	NA	NA	NA	2898	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48416	SAMN02325179	M0096	NA	NA	Scaffold	3	416244	NA	33	115	15	14	98.55	0.33	v1.2.3	PRJNA216224	NA	homo sapiens | tip	human
GCA_000552045.1	Staphylococcus aureus M0096	homo sapiens	tip	NA	NA	NA	2749	NA	allpaths v. R48416	SAMN02325179	M0096	NA	NA	Scaffold	3	416244	NA	33	115	15	14	98.55	0.33	v1.2.3	PRJNA216224	NA	homo sapiens | tip	human
