Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCF_000542235.1	Staphylococcus aureus UCIM6106	Homo sapiens	blood				2882	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381726	UCIM6106			Scaffold	4	286185		33	91	25	24	98.75	0.39	v1.2.3	PRJNA223987	
GCA_000542235.1	Staphylococcus aureus UCIM6106	Homo sapiens	blood				2744		allpaths v. R48275	SAMN02381726	UCIM6106			Scaffold	4	286185		33	91	25	24	98.75	0.39	v1.2.3	PRJNA223987	
GCF_000542335.1	Staphylococcus aureus UCIM6115	Homo sapiens	blood				2841	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381737	UCIM6115			Scaffold	3	399856		33	122	15	13	98.63	0.65	v1.2.3	PRJNA223998	
GCA_000542335.1	Staphylococcus aureus UCIM6115	Homo sapiens	blood				2705		allpaths v. R48275	SAMN02381737	UCIM6115			Scaffold	3	399856		33	122	15	13	98.63	0.65	v1.2.3	PRJNA223998	
GCF_000542355.1	Staphylococcus aureus UCIM6119	Homo sapiens	blood				2933	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381738	UCIM6119			Scaffold	8	125434		33	118	48	46	96.94	0.68	v1.2.3	PRJNA223999	
GCA_000542355.1	Staphylococcus aureus UCIM6119	Homo sapiens	blood				2826		allpaths v. R48275	SAMN02381738	UCIM6119			Scaffold	8	125434		33	118	48	46	96.94	0.68	v1.2.3	PRJNA223999	
GCF_000542475.1	Staphylococcus aureus UCIM6123	Homo sapiens	blood				2714	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381749	UCIM6123			Scaffold	4	270775		33	123	17	16	98.52	0.39	v1.2.3	PRJNA224010	
GCA_000542475.1	Staphylococcus aureus UCIM6123	Homo sapiens	blood				2570		allpaths v. R48275	SAMN02381749	UCIM6123			Scaffold	4	270775		33	123	17	16	98.52	0.39	v1.2.3	PRJNA224010	
GCF_000543105.1	Staphylococcus aureus UCIM6144	Homo sapiens	blood				2981	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381799	UCIM6144			Scaffold	2	693532		32.5	115	14	12	97.99	0.39	v1.2.3	PRJNA224060	
GCA_000543105.1	Staphylococcus aureus UCIM6144	Homo sapiens	blood				2821		allpaths v. R48275	SAMN02381799	UCIM6144			Scaffold	2	693532		32.5	115	14	12	97.99	0.39	v1.2.3	PRJNA224060	
GCF_000543085.1	Staphylococcus aureus UCIM6145	Homo sapiens	blood				3012	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381798	UCIM6145			Scaffold	2	693444		32.5	96	18	16	97.93	0.39	v1.2.4	PRJNA224059	
GCA_000543085.1	Staphylococcus aureus UCIM6145	Homo sapiens	blood				2855		allpaths v. R48275	SAMN02381798	UCIM6145			Scaffold	2	693444		32.5	96	18	16	97.93	0.39	v1.2.4	PRJNA224059	
GCF_000543165.1	Staphylococcus aureus UCIM6147	Homo sapiens	blood				3050	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48275	SAMN02381803	UCIM6147			Scaffold	2	575265		32.5	107	21	20	97.96	0.56	v1.2.4	PRJNA224064	
GCA_000543165.1	Staphylococcus aureus UCIM6147	Homo sapiens	blood				2896		allpaths v. R48275	SAMN02381803	UCIM6147			Scaffold	2	575265		32.5	107	21	20	97.96	0.56	v1.2.4	PRJNA224064	
GCF_000568455.1	Staphylococcus aureus USA300-ISMMS1						2993	Best-placed reference protein set; GeneMarkS-2+	HGAP v. 1.4	SAMN03081531	USA300-ISMMS1			Complete Genome	1	2921008		33	506	3	3	97.99	0.39	v1.2.3	PRJNA237099	
GCA_000568455.1	Staphylococcus aureus USA300-ISMMS1						2867	Best-placed reference protein set; GeneMarkS+	HGAP v. 1.4	SAMN03081531	USA300-ISMMS1			Complete Genome	1	2921008		33	506	3	3	97.99	0.39	v1.2.3	PRJNA237099	
GCF_000640455.1	Staphylococcus aureus USA7	Homo sapiens	bodily fluid				2722	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391431	USA7			Scaffold	3	390340		33	90	22	21	98.73	0.98	v1.2.3	PRJNA226560	
GCA_000640455.1	Staphylococcus aureus USA7	Homo sapiens	bodily fluid				2585		allpaths v. R48559	SAMN02391431	USA7			Scaffold	3	390340		33	90	22	21	98.73	0.98	v1.2.3	PRJNA226560	
GCF_000640335.1	Staphylococcus aureus USA_1	Homo sapiens	bodily fluid				2791	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391429	USA_1			Scaffold	4	269039		33	88	23	21	98.81	0.39	v1.2.3	PRJNA226558	
GCA_000640335.1	Staphylococcus aureus USA_1	Homo sapiens	bodily fluid				2651		allpaths v. R48559	SAMN02391429	USA_1			Scaffold	4	269039		33	88	23	21	98.81	0.39	v1.2.3	PRJNA226558	
GCF_000640355.1	Staphylococcus aureus USA_11	Homo sapiens	bodily fluid				2702	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391434	USA_11			Scaffold	4	254550		33	90	25	24	98.65	0.64	v1.2.3	PRJNA226564	
GCA_000640355.1	Staphylococcus aureus USA_11	Homo sapiens	bodily fluid				2574		allpaths v. R48559	SAMN02391434	USA_11			Scaffold	4	254550		33	90	25	24	98.65	0.64	v1.2.3	PRJNA226564	
GCF_000640375.1	Staphylococcus aureus USA_12	Homo sapiens	bodily fluid				2728	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391435	USA_12			Scaffold	4	206243		33	88	27	25	98.58	0.39	v1.2.3	PRJNA226565	
GCA_000640375.1	Staphylococcus aureus USA_12	Homo sapiens	bodily fluid				2588		allpaths v. R48559	SAMN02391435	USA_12			Scaffold	4	206243		33	88	27	25	98.58	0.39	v1.2.3	PRJNA226565	
GCF_000640395.1	Staphylococcus aureus USA_15	Homo sapiens	bodily fluid				2753	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391436	USA_15			Scaffold	3	533425		33	91	28	25	98.65	0.78	v1.2.3	PRJNA226566	
GCA_000640395.1	Staphylococcus aureus USA_15	Homo sapiens	bodily fluid				2621		allpaths v. R48559	SAMN02391436	USA_15			Scaffold	3	533425		33	91	28	25	98.65	0.78	v1.2.3	PRJNA226566	
GCF_000640415.1	Staphylococcus aureus USA_8	Homo sapiens	bodily fluid				2824	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391432	USA_8			Scaffold	7	137407		33	97	47	46	98.73	0.39	v1.2.3	PRJNA226561	
GCA_000640415.1	Staphylococcus aureus USA_8	Homo sapiens	bodily fluid				2687		allpaths v. R48559	SAMN02391432	USA_8			Scaffold	7	137407		33	97	47	46	98.73	0.39	v1.2.3	PRJNA226561	
GCF_000640435.1	Staphylococcus aureus USA_9	Homo sapiens	bodily fluid				2715	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391433	USA_9			Scaffold	5	180138		33	89	29	25	98.71	0.39	v1.2.3	PRJNA226562	
GCA_000640435.1	Staphylococcus aureus USA_9	Homo sapiens	bodily fluid				2580		allpaths v. R48559	SAMN02391433	USA_9			Scaffold	5	180138		33	89	29	25	98.71	0.39	v1.2.3	PRJNA226562	
GCF_000640475.1	Staphylococcus aureus VE07/03048STA	Sus scrofa	bodily fluid				2784	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391275	VE07/03048STA			Scaffold	6	140578		33	89	45	43	98.78	0.39	v1.2.3	PRJNA226401	
GCA_000640475.1	Staphylococcus aureus VE07/03048STA	Sus scrofa	bodily fluid				2651		allpaths v. R48559	SAMN02391275	VE07/03048STA			Scaffold	6	140578		33	89	45	43	98.78	0.39	v1.2.3	PRJNA226401	
GCF_000640495.1	Staphylococcus aureus VE08/02126ST1	Not applicable	Not applicable				2767	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391276	VE08/02126ST1			Scaffold	7	137940		33	89	36	35	98.46	0.42	v1.2.3	PRJNA226402	
GCA_000640495.1	Staphylococcus aureus VE08/02126ST1	Not applicable	Not applicable				2627		allpaths v. R48559	SAMN02391276	VE08/02126ST1			Scaffold	7	137940		33	89	36	35	98.46	0.42	v1.2.3	PRJNA226402	
GCF_000640515.1	Staphylococcus aureus VE08/02244ST1	Not applicable	Not applicable				2756	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02391278	VE08/02244ST1			Scaffold	5	179327		33	89	34	33	98.46	0.42	v1.2.3	PRJNA226404	
GCA_000640515.1	Staphylococcus aureus VE08/02244ST1	Not applicable	Not applicable				2625		allpaths v. R48559	SAMN02391278	VE08/02244ST1			Scaffold	5	179327		33	89	34	33	98.46	0.42	v1.2.3	PRJNA226404	
GCF_000640535.1	Staphylococcus aureus VET0051R	Homo sapiens	missing				2759	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403974	VET0051R			Scaffold	5	167512		33	89	35	33	98.41	0.42	v1.2.3	PRJNA228481	
GCA_000640535.1	Staphylococcus aureus VET0051R	Homo sapiens	missing				2635		allpaths v. R48559	SAMN02403974	VET0051R			Scaffold	5	167512		33	89	35	33	98.41	0.42	v1.2.3	PRJNA228481	
GCF_000640555.1	Staphylococcus aureus VET0052R	Homo sapiens	missing				2796	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403975	VET0052R			Scaffold	6	145837		33	90	43	41	97.87	0.4	v1.2.3	PRJNA228482	
GCA_000640555.1	Staphylococcus aureus VET0052R	Homo sapiens	missing				2659		allpaths v. R48559	SAMN02403975	VET0052R			Scaffold	6	145837		33	90	43	41	97.87	0.4	v1.2.3	PRJNA228482	
GCF_000640575.1	Staphylococcus aureus VET0053R	Homo sapiens	missing				2878	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403976	VET0053R			Scaffold	6	204589		33	87	40	37	98.6	0.42	v1.2.3	PRJNA228483	
GCA_000640575.1	Staphylococcus aureus VET0053R	Homo sapiens	missing				2741		allpaths v. R48559	SAMN02403976	VET0053R			Scaffold	6	204589		33	87	40	37	98.6	0.42	v1.2.3	PRJNA228483	
GCF_000640595.1	Staphylococcus aureus VET0054R	Homo sapiens	missing				2750	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403977	VET0054R			Scaffold	5	204961		33	80	35	32	98.69	0.54	v1.2.3	PRJNA228484	
GCA_000640595.1	Staphylococcus aureus VET0054R	Homo sapiens	missing				2618		allpaths v. R48559	SAMN02403977	VET0054R			Scaffold	5	204961		33	80	35	32	98.69	0.54	v1.2.3	PRJNA228484	
GCF_000640615.1	Staphylococcus aureus VET0055R	Homo sapiens	missing				2864	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403978	VET0055R			Scaffold	9	107933		33	90	72	69	97.87	0.4	v1.2.3	PRJNA228485	
GCA_000640615.1	Staphylococcus aureus VET0055R	Homo sapiens	missing				2729		allpaths v. R48559	SAMN02403978	VET0055R			Scaffold	9	107933		33	90	72	69	97.87	0.4	v1.2.3	PRJNA228485	
GCF_000640635.1	Staphylococcus aureus VET0057R	Homo sapiens	missing				2867	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403979	VET0057R			Scaffold	7	148184		33	89	58	57	98.68	0.9	v1.2.3	PRJNA228486	
GCA_000640635.1	Staphylococcus aureus VET0057R	Homo sapiens	missing				2720		allpaths v. R48559	SAMN02403979	VET0057R			Scaffold	7	148184		33	89	58	57	98.68	0.9	v1.2.3	PRJNA228486	
GCF_000640655.1	Staphylococcus aureus VET0059R	Homo sapiens	missing				2847	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403981	VET0059R			Scaffold	7	137668		33	86	45	42	98.68	0.43	v1.2.3	PRJNA228488	
GCA_000640655.1	Staphylococcus aureus VET0059R	Homo sapiens	missing				2699		allpaths v. R48559	SAMN02403981	VET0059R			Scaffold	7	137668		33	86	45	42	98.68	0.43	v1.2.3	PRJNA228488	
GCF_000640675.1	Staphylococcus aureus VET0060R	Homo sapiens	missing				2848	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403982	VET0060R			Scaffold	6	148109		33	87	45	44	98.68	0.43	v1.2.3	PRJNA228489	
GCA_000640675.1	Staphylococcus aureus VET0060R	Homo sapiens	missing				2702		allpaths v. R48559	SAMN02403982	VET0060R			Scaffold	6	148109		33	87	45	44	98.68	0.43	v1.2.3	PRJNA228489	
GCF_000640695.1	Staphylococcus aureus VET0061R	Homo sapiens	missing				2906	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403983	VET0061R			Scaffold	6	148182		33	86	46	44	98.66	0.43	v1.2.3	PRJNA228490	
GCA_000640695.1	Staphylococcus aureus VET0061R	Homo sapiens	missing				2777		allpaths v. R48559	SAMN02403983	VET0061R			Scaffold	6	148182		33	86	46	44	98.66	0.43	v1.2.3	PRJNA228490	
GCF_000640715.1	Staphylococcus aureus VET0062R	Homo sapiens	missing				2849	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403984	VET0062R			Scaffold	6	138348		33	84	39	35	98.69	0.81	v1.2.3	PRJNA228491	
GCA_000640715.1	Staphylococcus aureus VET0062R	Homo sapiens	missing				2720		allpaths v. R48559	SAMN02403984	VET0062R			Scaffold	6	138348		33	84	39	35	98.69	0.81	v1.2.3	PRJNA228491	
GCF_000640735.1	Staphylococcus aureus VET0063R	Homo sapiens	missing				2852	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403985	VET0063R			Scaffold	7	135021		33	84	48	45	98.46	0.42	v1.2.3	PRJNA228492	
GCA_000640735.1	Staphylococcus aureus VET0063R	Homo sapiens	missing				2729		allpaths v. R48559	SAMN02403985	VET0063R			Scaffold	7	135021		33	84	48	45	98.46	0.42	v1.2.3	PRJNA228492	
GCF_000640755.1	Staphylococcus aureus VET0065R	Homo sapiens	missing				2731	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403986	VET0065R			Scaffold	6	147616		33	85	38	35	98.69	0.39	v1.2.3	PRJNA228493	
GCA_000640755.1	Staphylococcus aureus VET0065R	Homo sapiens	missing				2603		allpaths v. R48559	SAMN02403986	VET0065R			Scaffold	6	147616		33	85	38	35	98.69	0.39	v1.2.3	PRJNA228493	
GCF_000640775.1	Staphylococcus aureus VET0066R	Homo sapiens	missing				2871	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403987	VET0066R			Scaffold	5	152817		33	87	39	38	98.69	0.39	v1.2.3	PRJNA228494	
GCA_000640775.1	Staphylococcus aureus VET0066R	Homo sapiens	missing				2736		allpaths v. R48559	SAMN02403987	VET0066R			Scaffold	5	152817		33	87	39	38	98.69	0.39	v1.2.3	PRJNA228494	
GCF_000640795.1	Staphylococcus aureus VET0067R	Homo sapiens	missing				2878	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403988	VET0067R			Scaffold	6	151813		33	85	44	41	98.94	1	v1.2.3	PRJNA228495	
GCA_000640795.1	Staphylococcus aureus VET0067R	Homo sapiens	missing				2757		allpaths v. R48559	SAMN02403988	VET0067R			Scaffold	6	151813		33	85	44	41	98.94	1	v1.2.3	PRJNA228495	
GCF_000640815.1	Staphylococcus aureus VET0069R	Homo sapiens	missing				2911	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403989	VET0069R			Scaffold	7	137848		33	92	50	48	98.66	0.43	v1.2.3	PRJNA228496	
GCA_000640815.1	Staphylococcus aureus VET0069R	Homo sapiens	missing				2776		allpaths v. R48559	SAMN02403989	VET0069R			Scaffold	7	137848		33	92	50	48	98.66	0.43	v1.2.3	PRJNA228496	
GCF_000640835.1	Staphylococcus aureus VET0070R	Homo sapiens	missing				2838	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403990	VET0070R			Scaffold	6	137848		33	85	40	39	98.46	0.39	v1.2.3	PRJNA228497	
GCA_000640835.1	Staphylococcus aureus VET0070R	Homo sapiens	missing				2695		allpaths v. R48559	SAMN02403990	VET0070R			Scaffold	6	137848		33	85	40	39	98.46	0.39	v1.2.3	PRJNA228497	
GCF_000640855.1	Staphylococcus aureus VET0072R	Homo sapiens	missing				2783	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403991	VET0072R			Scaffold	4	214790		33	90	45	44	98.68	0.43	v1.2.3	PRJNA228498	
GCA_000640855.1	Staphylococcus aureus VET0072R	Homo sapiens	missing				2646		allpaths v. R48559	SAMN02403991	VET0072R			Scaffold	4	214790		33	90	45	44	98.68	0.43	v1.2.3	PRJNA228498	
GCF_000640875.1	Staphylococcus aureus VET0073R	Homo sapiens	missing				2792	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403992	VET0073R			Scaffold	6	144300		33	89	53	51	98.68	1.02	v1.2.3	PRJNA228499	
GCA_000640875.1	Staphylococcus aureus VET0073R	Homo sapiens	missing				2655		allpaths v. R48559	SAMN02403992	VET0073R			Scaffold	6	144300		33	89	53	51	98.68	1.02	v1.2.3	PRJNA228499	
GCF_000640895.1	Staphylococcus aureus VET0075R	Homo sapiens	missing				2768	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403993	VET0075R			Scaffold	5	137815		33	87	40	38	98.46	0.39	v1.2.3	PRJNA228500	
GCA_000640895.1	Staphylococcus aureus VET0075R	Homo sapiens	missing				2636		allpaths v. R48559	SAMN02403993	VET0075R			Scaffold	5	137815		33	87	40	38	98.46	0.39	v1.2.3	PRJNA228500	
GCF_000640915.1	Staphylococcus aureus VET0076R	Homo sapiens	missing				2708	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403994	VET0076R			Scaffold	5	152636		33	78	33	31	98.46	0.4	v1.2.3	PRJNA228501	
GCA_000640915.1	Staphylococcus aureus VET0076R	Homo sapiens	missing				2577		allpaths v. R48559	SAMN02403994	VET0076R			Scaffold	5	152636		33	78	33	31	98.46	0.4	v1.2.3	PRJNA228501	
GCF_000640935.1	Staphylococcus aureus VET0077R	Homo sapiens	missing				2837	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403995	VET0077R			Scaffold	6	152380		33	87	46	45	98.46	0.46	v1.2.3	PRJNA228502	
GCA_000640935.1	Staphylococcus aureus VET0077R	Homo sapiens	missing				2698		allpaths v. R48559	SAMN02403995	VET0077R			Scaffold	6	152380		33	87	46	45	98.46	0.46	v1.2.3	PRJNA228502	
GCF_000640955.1	Staphylococcus aureus VET0080R	Homo sapiens	missing				2771	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403997	VET0080R			Scaffold	4	201568		33	98	43	40	98.46	0.39	v1.2.3	PRJNA228504	
GCA_000640955.1	Staphylococcus aureus VET0080R	Homo sapiens	missing				2642		allpaths v. R48559	SAMN02403997	VET0080R			Scaffold	4	201568		33	98	43	40	98.46	0.39	v1.2.3	PRJNA228504	
GCF_000640975.1	Staphylococcus aureus VET0083R	Homo sapiens	missing				2739	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02403999	VET0083R			Scaffold	4	204377		33	86	31	28	98.69	0.39	v1.2.3	PRJNA228506	
GCA_000640975.1	Staphylococcus aureus VET0083R	Homo sapiens	missing				2617		allpaths v. R48559	SAMN02403999	VET0083R			Scaffold	4	204377		33	86	31	28	98.69	0.39	v1.2.3	PRJNA228506	
GCF_000640995.1	Staphylococcus aureus VET0084R	Homo sapiens	missing				2807	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404000	VET0084R			Scaffold	7	137424		33	87	44	43	97.87	0.4	v1.2.3	PRJNA228507	
GCA_000640995.1	Staphylococcus aureus VET0084R	Homo sapiens	missing				2666		allpaths v. R48559	SAMN02404000	VET0084R			Scaffold	7	137424		33	87	44	43	97.87	0.4	v1.2.3	PRJNA228507	
GCF_000641015.1	Staphylococcus aureus VET0085R	Homo sapiens	missing				2803	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404001	VET0085R			Scaffold	6	137424		33	90	44	43	97.87	0.4	v1.2.3	PRJNA228508	
GCA_000641015.1	Staphylococcus aureus VET0085R	Homo sapiens	missing				2668		allpaths v. R48559	SAMN02404001	VET0085R			Scaffold	6	137424		33	90	44	43	97.87	0.4	v1.2.3	PRJNA228508	
GCF_000641035.1	Staphylococcus aureus VET0086R	Homo sapiens	missing				2754	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404002	VET0086R			Scaffold	4	198642		33	86	31	30	98.69	0.39	v1.2.3	PRJNA228509	
GCA_000641035.1	Staphylococcus aureus VET0086R	Homo sapiens	missing				2617		allpaths v. R48559	SAMN02404002	VET0086R			Scaffold	4	198642		33	86	31	30	98.69	0.39	v1.2.3	PRJNA228509	
GCF_000641055.1	Staphylococcus aureus VET0087R	Homo sapiens	missing				2729	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404003	VET0087R			Scaffold	6	137848		33	85	28	26	98.46	0.39	v1.2.3	PRJNA228510	
GCA_000641055.1	Staphylococcus aureus VET0087R	Homo sapiens	missing				2596		allpaths v. R48559	SAMN02404003	VET0087R			Scaffold	6	137848		33	85	28	26	98.46	0.39	v1.2.3	PRJNA228510	
GCF_000641075.1	Staphylococcus aureus VET0088R	Homo sapiens	missing				2820	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404004	VET0088R			Scaffold	8	138227		33	88	64	59	98.68	1.02	v1.2.3	PRJNA228511	
GCA_000641075.1	Staphylococcus aureus VET0088R	Homo sapiens	missing				2672		allpaths v. R48559	SAMN02404004	VET0088R			Scaffold	8	138227		33	88	64	59	98.68	1.02	v1.2.3	PRJNA228511	
GCF_000641095.1	Staphylococcus aureus VET0089R	Homo sapiens	missing				2864	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404005	VET0089R			Scaffold	3	362734		33	178	23	20	98.69	0.39	v1.2.3	PRJNA228512	
GCA_000641095.1	Staphylococcus aureus VET0089R	Homo sapiens	missing				2728		allpaths v. R48559	SAMN02404005	VET0089R			Scaffold	3	362734		33	178	23	20	98.69	0.39	v1.2.3	PRJNA228512	
GCF_000641115.1	Staphylococcus aureus VET0090R	Homo sapiens	missing				2852	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404006	VET0090R			Scaffold	6	137848		33	87	42	40	98.64	0.39	v1.2.3	PRJNA228513	
GCA_000641115.1	Staphylococcus aureus VET0090R	Homo sapiens	missing				2721		allpaths v. R48559	SAMN02404006	VET0090R			Scaffold	6	137848		33	87	42	40	98.64	0.39	v1.2.3	PRJNA228513	
GCF_000641135.1	Staphylococcus aureus VET0091R	Homo sapiens	missing				2848	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404007	VET0091R			Scaffold	7	149860		33	87	43	42	98.68	0.43	v1.2.3	PRJNA228514	
GCA_000641135.1	Staphylococcus aureus VET0091R	Homo sapiens	missing				2701		allpaths v. R48559	SAMN02404007	VET0091R			Scaffold	7	149860		33	87	43	42	98.68	0.43	v1.2.3	PRJNA228514	
GCF_000641155.1	Staphylococcus aureus VET0092R	Homo sapiens	missing				2851	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404008	VET0092R			Scaffold	7	137400		33	90	48	45	98.46	0.42	v1.2.3	PRJNA228515	
GCA_000641155.1	Staphylococcus aureus VET0092R	Homo sapiens	missing				2719		allpaths v. R48559	SAMN02404008	VET0092R			Scaffold	7	137400		33	90	48	45	98.46	0.42	v1.2.3	PRJNA228515	
GCF_000641175.1	Staphylococcus aureus VET0093R	Homo sapiens	missing				2874	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404009	VET0093R			Scaffold	7	137282		33	88	50	49	98.46	0.42	v1.2.3	PRJNA228516	
GCA_000641175.1	Staphylococcus aureus VET0093R	Homo sapiens	missing				2745		allpaths v. R48559	SAMN02404009	VET0093R			Scaffold	7	137282		33	88	50	49	98.46	0.42	v1.2.3	PRJNA228516	
GCF_000641195.1	Staphylococcus aureus VET0094R	Homo sapiens	missing				2855	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404010	VET0094R			Scaffold	3	429748		33	76	37	36	98.6	0.44	v1.2.3	PRJNA228517	
GCA_000641195.1	Staphylococcus aureus VET0094R	Homo sapiens	missing				2720		allpaths v. R48559	SAMN02404010	VET0094R			Scaffold	3	429748		33	76	37	36	98.6	0.44	v1.2.3	PRJNA228517	
GCF_000641215.1	Staphylococcus aureus VET0095R	Homo sapiens	missing				2904	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404011	VET0095R			Scaffold	5	151983		33	88	42	40	98.66	0.43	v1.2.3	PRJNA228518	
GCA_000641215.1	Staphylococcus aureus VET0095R	Homo sapiens	missing				2769		allpaths v. R48559	SAMN02404011	VET0095R			Scaffold	5	151983		33	88	42	40	98.66	0.43	v1.2.3	PRJNA228518	
GCF_000641235.1	Staphylococcus aureus VET0097R	Homo sapiens	missing				2753	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404012	VET0097R			Scaffold	4	218023		33	84	38	37	98.46	0.39	v1.2.3	PRJNA228519	
GCA_000641235.1	Staphylococcus aureus VET0097R	Homo sapiens	missing				2615		allpaths v. R48559	SAMN02404012	VET0097R			Scaffold	4	218023		33	84	38	37	98.46	0.39	v1.2.3	PRJNA228519	
GCF_000641255.1	Staphylococcus aureus VET0098R	Homo sapiens	missing				2867	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404013	VET0098R			Scaffold	5	214907		33	85	41	40	98.69	0.39	v1.2.3	PRJNA228520	
GCA_000641255.1	Staphylococcus aureus VET0098R	Homo sapiens	missing				2737		allpaths v. R48559	SAMN02404013	VET0098R			Scaffold	5	214907		33	85	41	40	98.69	0.39	v1.2.3	PRJNA228520	
GCF_000641275.1	Staphylococcus aureus VET0099R	Homo sapiens	missing				2869	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404014	VET0099R			Scaffold	5	175048		33	84	47	45	98.69	0.39	v1.2.3	PRJNA228521	
GCA_000641275.1	Staphylococcus aureus VET0099R	Homo sapiens	missing				2730		allpaths v. R48559	SAMN02404014	VET0099R			Scaffold	5	175048		33	84	47	45	98.69	0.39	v1.2.3	PRJNA228521	
GCF_000641295.1	Staphylococcus aureus VET0101R	Homo sapiens	missing				2733	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404015	VET0101R			Scaffold	5	174388		33	85	41	39	98.69	0.39	v1.2.3	PRJNA228522	
GCA_000641295.1	Staphylococcus aureus VET0101R	Homo sapiens	missing				2599		allpaths v. R48559	SAMN02404015	VET0101R			Scaffold	5	174388		33	85	41	39	98.69	0.39	v1.2.3	PRJNA228522	
